Domain,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
Annual population,Lithuania,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,1325.24,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Lithuania,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,1553.165,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Luxembourg,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,284.615,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Luxembourg,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,282.495,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Malta,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,208.496,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Malta,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,210.174,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Netherlands,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,8400.626,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Netherlands,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,8524.303,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Poland,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,18673.687,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Poland,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,19938.107,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Portugal,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,4900.539,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Portugal,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,5449.264,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Romania,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,9450.977,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Romania,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,10060.347,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Slovakia,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,2630.135,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Slovakia,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,2796.123,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Slovenia,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,1024.828,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Slovenia,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,1042.698,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Spain,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,22623.601,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Spain,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,23498.098,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Sweden,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,4886.817,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Sweden,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,4892.609,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,United Kingdom,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,31898.594,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,United Kingdom,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,32817.216,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
